index,size,model_response,correct_answer,is_correct,processing_time,model,symbol_set
0,5,none,none,True,48.83019518852234,phi3:medium,XO
1,5,full,left,False,36.77335214614868,phi3:medium,XO
2,5,none,none,True,42.765323638916016,phi3:medium,XO
3,3,none,none,True,36.09265470504761,phi3:medium,XO
4,5,left,full,False,38.34493541717529,phi3:medium,XO
5,3,left,left,True,29.485203981399536,phi3:medium,XO
6,5,none,none,True,33.66181564331055,phi3:medium,XO
7,4,full,right,False,33.400919914245605,phi3:medium,XO
8,4,right,right,True,33.06528115272522,phi3:medium,XO
9,4,right,none,False,33.852555990219116,phi3:medium,XO
0,4,right,left,False,35.20578360557556,phi3:medium,digits
1,4,none,none,True,33.89634299278259,phi3:medium,digits
2,4,right,left,False,34.616923809051514,phi3:medium,digits
3,3,none,none,True,30.10114312171936,phi3:medium,digits
4,3,left,full,False,30.91278624534607,phi3:medium,digits
5,4,right,right,True,34.96021342277527,phi3:medium,digits
6,3,none,none,True,30.141045331954956,phi3:medium,digits
7,3,right,full,False,30.137210369110107,phi3:medium,digits
8,5,right,left,False,39.75688123703003,phi3:medium,digits
9,5,left,right,False,40.23213315010071,phi3:medium,digits
0,3,right,full,False,29.726947784423828,phi3:medium,letters
1,5,right,left,False,35.88180446624756,phi3:medium,letters
2,3,none,none,True,30.057135820388794,phi3:medium,letters
3,5,right,full,False,36.44946837425232,phi3:medium,letters
4,5,none,none,True,37.26435327529907,phi3:medium,letters
5,3,none,none,True,29.357287883758545,phi3:medium,letters
6,5,right,right,True,37.68453907966614,phi3:medium,letters
7,4,none,none,True,34.496803998947144,phi3:medium,letters
8,5,left,full,False,38.90891981124878,phi3:medium,letters
9,3,right,full,False,30.612521171569824,phi3:medium,letters
0,5,left,right,False,38.6459424495697,phi3:medium,symbols
1,3,left,left,True,31.931815147399902,phi3:medium,symbols
2,5,right,full,False,37.59946823120117,phi3:medium,symbols
3,3,none,none,True,29.230115175247192,phi3:medium,symbols
4,5,left,left,True,37.34756112098694,phi3:medium,symbols
5,4,right,full,False,33.137152671813965,phi3:medium,symbols
6,4,left,left,True,31.94563341140747,phi3:medium,symbols
7,5,right,right,True,37.222820520401,phi3:medium,symbols
8,4,left,left,True,32.9369113445282,phi3:medium,symbols
9,3,right,left,False,30.204260110855103,phi3:medium,symbols
