index,size,model_response,correct_answer,is_correct,processing_time,model,symbol_set
0,3,full,none,False,12.079957008361816,phi3:mini,digits
1,3,right,right,True,8.040548324584961,phi3:mini,digits
2,3,right,right,True,8.008051633834839,phi3:mini,digits
3,3,none,none,True,7.983280181884766,phi3:mini,digits
4,3,right,left,False,7.9729249477386475,phi3:mini,digits
5,3,full,full,True,8.06916856765747,phi3:mini,digits
6,3,right,full,False,8.03210163116455,phi3:mini,digits
7,3,left,right,False,8.07695460319519,phi3:mini,digits
8,3,right,left,False,8.051594257354736,phi3:mini,digits
9,3,none,none,True,8.119936227798462,phi3:mini,digits
0,3,none,none,True,7.912285327911377,phi3:mini,letters
1,3,right,full,False,7.7563698291778564,phi3:mini,letters
2,3,right,right,True,7.821148872375488,phi3:mini,letters
3,3,full,right,False,7.637816429138184,phi3:mini,letters
4,3,right,none,False,8.081060886383057,phi3:mini,letters
5,3,full,full,True,9.493558645248413,phi3:mini,letters
6,3,right,right,True,8.09749436378479,phi3:mini,letters
7,3,right,right,True,8.347954511642456,phi3:mini,letters
8,3,right,left,False,8.412107229232788,phi3:mini,letters
9,3,right,full,False,8.745575189590454,phi3:mini,letters
0,3,full,full,True,8.597018718719482,phi3:mini,symbols
1,3,full,full,True,8.276639461517334,phi3:mini,symbols
2,3,right,full,False,8.096779346466064,phi3:mini,symbols
3,3,right,right,True,8.193013668060303,phi3:mini,symbols
4,3,left,left,True,8.285664558410645,phi3:mini,symbols
5,3,right,full,False,8.291605472564697,phi3:mini,symbols
6,3,right,right,True,8.629577159881592,phi3:mini,symbols
7,3,full,full,True,8.204737424850464,phi3:mini,symbols
8,3,full,full,True,8.225017547607422,phi3:mini,symbols
9,3,full,full,True,8.177282810211182,phi3:mini,symbols
