index,size,model_response,correct_answer,is_correct,processing_time,model,symbol_set
0,5,right,full,False,12.783557415008545,phi3:mini,digits
1,4,right,left,False,10.028573274612427,phi3:mini,digits
2,4,left,right,False,9.82857370376587,phi3:mini,digits
3,4,right,right,True,11.880422592163086,phi3:mini,digits
4,5,right,right,True,11.524531126022339,phi3:mini,digits
5,3,full,right,False,8.825190305709839,phi3:mini,digits
6,4,none,none,True,11.373815536499023,phi3:mini,digits
7,5,right,none,False,13.521005153656006,phi3:mini,digits
8,5,none,none,True,14.309204578399658,phi3:mini,digits
9,4,none,none,True,10.44041132926941,phi3:mini,digits
10,4,right,right,True,10.361353635787964,phi3:mini,digits
11,4,right,left,False,10.97442889213562,phi3:mini,digits
12,4,left,right,False,12.200468301773071,phi3:mini,digits
13,4,right,full,False,11.268890380859375,phi3:mini,digits
14,4,right,full,False,11.144345998764038,phi3:mini,digits
15,4,full,right,False,11.152433395385742,phi3:mini,digits
16,4,right,left,False,10.533154249191284,phi3:mini,digits
17,4,right,right,True,9.884421825408936,phi3:mini,digits
18,3,full,none,False,8.88953185081482,phi3:mini,digits
19,3,none,none,True,9.750212907791138,phi3:mini,digits
0,5,right,right,True,11.596782922744751,phi3:mini,letters
1,4,none,none,True,12.20921778678894,phi3:mini,letters
2,5,right,left,False,11.592811584472656,phi3:mini,letters
3,4,right,right,True,11.67297101020813,phi3:mini,letters
4,5,right,right,True,10.79971694946289,phi3:mini,letters
5,4,right,right,True,11.404920816421509,phi3:mini,letters
6,4,right,left,False,10.298429727554321,phi3:mini,letters
7,5,right,full,False,10.933274984359741,phi3:mini,letters
8,5,left,full,False,12.424942255020142,phi3:mini,letters
9,4,right,full,False,11.185487031936646,phi3:mini,letters
10,4,right,full,False,12.286120176315308,phi3:mini,letters
11,4,right,full,False,10.6005117893219,phi3:mini,letters
12,3,full,right,False,9.552531719207764,phi3:mini,letters
13,5,full,full,True,11.320920705795288,phi3:mini,letters
14,3,right,left,False,10.445324659347534,phi3:mini,letters
15,5,none,none,True,11.216135740280151,phi3:mini,letters
16,3,right,right,True,10.534024000167847,phi3:mini,letters
17,3,right,right,True,9.071283102035522,phi3:mini,letters
18,5,right,left,False,12.005534410476685,phi3:mini,letters
19,5,full,full,True,11.53299069404602,phi3:mini,letters
0,5,right,right,True,10.144237041473389,phi3:mini,symbols
1,3,left,right,False,8.75757384300232,phi3:mini,symbols
2,4,right,right,True,8.883860349655151,phi3:mini,symbols
3,4,full,left,False,8.869089365005493,phi3:mini,symbols
4,5,full,right,False,9.90460205078125,phi3:mini,symbols
5,3,left,left,True,8.605816841125488,phi3:mini,symbols
6,3,right,right,True,8.139732360839844,phi3:mini,symbols
7,4,none,none,True,8.860546350479126,phi3:mini,symbols
8,3,right,full,False,7.897165775299072,phi3:mini,symbols
9,5,full,none,False,9.945341110229492,phi3:mini,symbols
10,4,right,right,True,9.132826089859009,phi3:mini,symbols
11,3,left,left,True,8.313398599624634,phi3:mini,symbols
12,3,right,right,True,8.097644090652466,phi3:mini,symbols
13,4,right,left,False,8.717259407043457,phi3:mini,symbols
14,3,none,none,True,8.268850326538086,phi3:mini,symbols
15,5,none,none,True,9.920965194702148,phi3:mini,symbols
16,3,full,full,True,8.297320127487183,phi3:mini,symbols
17,4,left,left,True,9.029085159301758,phi3:mini,symbols
18,3,none,none,True,8.112760305404663,phi3:mini,symbols
19,5,none,none,True,9.972957372665405,phi3:mini,symbols
