index,size,model_response,correct_answer,is_correct,processing_time,model,symbol_set
0,3,none,left,False,17.517985582351685,phi3:mini,digits
1,3,right,left,False,8.196181058883667,phi3:mini,digits
2,4,full,right,False,9.34420895576477,phi3:mini,digits
3,4,left,left,True,9.472228765487671,phi3:mini,digits
4,3,left,left,True,8.260372161865234,phi3:mini,digits
0,4,none,none,True,8.55252742767334,phi3:mini,letters
1,5,full,full,True,9.498743295669556,phi3:mini,letters
2,4,none,none,True,8.48372197151184,phi3:mini,letters
3,5,right,left,False,9.812336206436157,phi3:mini,letters
4,5,none,none,True,11.184283256530762,phi3:mini,letters
0,3,none,none,True,8.201886177062988,phi3:mini,symbols
1,5,right,right,True,9.367366790771484,phi3:mini,symbols
2,5,right,left,False,9.844616889953613,phi3:mini,symbols
3,3,right,right,True,8.147252321243286,phi3:mini,symbols
4,4,right,left,False,8.319200038909912,phi3:mini,symbols
